# Energy_eV TotalXS_barn
3.824569722466999305e-03 9.677163926976801722e-01
3.851107002325568872e-03 9.675037352383244471e-01
3.877828414589457214e-03 9.672896242126274302e-01
3.904735236885560103e-03 9.671113803485000826e-01
3.931828755705770589e-03 9.669476141456774254e-01
3.959110266468458469e-03 9.667827345279375040e-01
3.986581073580438943e-03 9.666167340823057508e-01
4.014242490499322046e-03 9.664496053485949201e-01
4.042095839796306170e-03 9.662813408191341935e-01
4.070142453219439092e-03 9.661219920000967409e-01
4.098383671757261509e-03 9.660039220519764935e-01
4.126820845702951907e-03 9.658850576985040792e-01
4.155455334718875619e-03 9.657653937663925880e-01
4.184288507901580585e-03 9.656449250510317217e-01
4.213321743847289226e-03 9.655236463163299199e-01
4.242556430717777174e-03 9.654015522945584848e-01
4.271993966306776754e-03 9.653135985031771060e-01
4.301635758106795056e-03 9.652415632421693648e-01
4.331483223376398663e-03 9.651690554632867958e-01
4.361537789208005771e-03 9.650960722600037123e-01
4.391800892596085977e-03 9.650226107106398832e-01
4.422273980505896963e-03 9.649486678783222304e-01
4.452958509942655727e-03 9.648827296783279994e-01
4.483855948021185991e-03 9.648586222953796643e-01
4.514967772036101654e-03 9.648343772575831423e-01
4.546295469532399616e-03 9.648099940129939434e-01
4.577840538376616412e-03 9.647854720112616356e-01
4.609604486828434121e-03 9.647608107037126679e-01
4.641588833612777208e-03 9.647360095434344140e-01
4.673795107992463616e-03 9.647309949902337367e-01
4.706224849841281720e-03 7.843098942785726280e+00
4.738879609717651029e-03 7.795706960879263292e+00
4.771760948938746048e-03 7.748641658500607932e+00
4.804870439655129291e-03 7.701900785999513666e+00
4.838209664925957609e-03 7.655482109246738887e+00
4.871780218794630885e-03 7.609393128348250102e+00
4.905583706365045267e-03 7.563680396780770643e+00
4.939621743878320863e-03 7.518283723813493857e+00
4.973895958790062848e-03 7.473200939624899064e+00
5.008407989848212387e-03 7.428429889411091835e+00
5.043159487171358993e-03 7.383968433282959154e+00
5.078152112327670442e-03 7.339814446163932971e+00
5.113387538414325764e-03 7.295995141282944019e+00
5.148867450137492065e-03 7.252496529202669961e+00
5.184593543892912840e-03 7.209299423171374066e+00
5.220567527846975073e-03 7.166401758606009587e+00
5.256791122018419048e-03 7.123801485251326504e+00
5.293266058360561639e-03 7.081496567082012916e+00
5.329994080844087725e-03 7.039490576829861901e+00
5.366976945540476510e-03 6.997817750740655818e+00
5.404216420705915298e-03 6.956434585294380746e+00
5.441714286865887221e-03 6.915339102703818241e+00
5.479472336900287170e-03 6.874529338948224044e+00
5.517492376129128420e-03 6.834003343679602160e+00
5.555776222398878077e-03 6.793759180129578468e+00
5.594325706169377133e-03 6.753823544945676716e+00
5.633142670601352063e-03 6.714184773849935617e+00
5.672228971644543115e-03 6.674822434208341981e+00
5.711586478126434545e-03 6.635734644939188520e+00
5.751217071841613696e-03 6.596919538100459057e+00
5.791122647641758041e-03 6.558375258800662522e+00
5.831305113526218976e-03 6.520102557436463719e+00
5.871766390733255264e-03 6.482122183190321074e+00
5.912508413831881436e-03 6.444407341866266847e+00
5.953533130814370189e-03 6.406956231232613597e+00
5.994842503189408769e-03 6.369767061681057108e+00
6.036438506075864248e-03 6.332838056141300243e+00
6.078323128297229670e-03 6.296167449996268317e+00
6.120498372476702517e-03 6.259787987411923993e+00
6.162966255132942307e-03 6.223688595402587787e+00
6.205728806776500406e-03 6.187842796774565279e+00
6.248788072006888211e-03 6.152248878760000927e+00
6.292146109610343568e-03 9.389992130212933219e+00
6.335804992658253774e-03 9.332342634484017907e+00
6.379766808606282015e-03 9.275098871183063309e+00
6.424033659394191159e-03 9.218301989882744962e+00
6.468607661546327617e-03 9.161902240415702892e+00
6.513490946272802555e-03 9.105896927363961169e+00
6.558685659571435525e-03 9.050283374184820318e+00
6.604193962330305243e-03 8.995058923083176339e+00
6.650018030431118291e-03 8.940220934884585802e+00
6.696160054853222271e-03 8.885790752925956326e+00
6.742622241778342337e-03 8.831761124776251748e+00
6.789406812696112230e-03 8.778110452764661176e+00
6.836516004510238484e-03 8.724836173032260334e+00
6.883952069645496441e-03 8.671935739734218274e+00
6.931717276155407136e-03 8.619406624918319437e+00
6.979813907830660115e-03 8.567247659115887259e+00
7.028244264308352446e-03 8.515483991165213595e+00
7.077010661181889518e-03 8.464084374392282228e+00
7.126115430111745405e-03 8.413046352677334028e+00
7.175560918936928385e-03 8.362367487208645755e+00
7.225349491787214085e-03 8.312045356366184023e+00
7.275483529196232965e-03 8.262077555606024859e+00
7.325965428215230023e-03 8.212497718227016463e+00
7.376797602527730875e-03 8.163299495180364573e+00
7.427982482564918221e-03 8.114448962165219825e+00
7.479522515621821015e-03 8.065943785080090578e+00
7.531420165974375344e-03 8.017781646356850089e+00
7.583677914997190468e-03 7.969960244850241793e+00
7.636298261282242067e-03 7.922478087714165618e+00
7.689283720758313158e-03 7.875371670529607293e+00
7.742636826811269413e-03 7.828599464530529239e+00
7.796360130405236531e-03 7.782159235115884144e+00
