Time_of_Flight_(µs),Corrected_Flux,Corrected_Flux_Uncertainty
3.390000000000000000e+02,1.485700000000000000e+04,1.218892940335608728e+02
3.410000000000000000e+02,1.477200000000000000e+04,1.215401168339085416e+02
3.430000000000000000e+02,1.467800000000000000e+04,1.211527960882449406e+02
3.450000000000000000e+02,1.488200000000000000e+04,1.219918030033168179e+02
3.470000000000000000e+02,1.469400000000000000e+04,1.212188104214856139e+02
3.490000000000000000e+02,1.502100000000000000e+04,1.225601892948925524e+02
3.509999999999999432e+02,1.524400000000000000e+04,1.234665946724053356e+02
3.529999999999999432e+02,1.513200000000000000e+04,1.230121945174541906e+02
3.550000000000000000e+02,1.517800000000000000e+04,1.231990259701760806e+02
3.570000000000000000e+02,1.537700000000000000e+04,1.240040321925062017e+02
3.590000000000000000e+02,1.534900000000000000e+04,1.238910811963469314e+02
3.610000000000000000e+02,1.540800000000000000e+04,1.241289651934639551e+02
3.630000000000000000e+02,1.543800000000000000e+04,1.242497484906907630e+02
3.650000000000000000e+02,1.577800000000000000e+04,1.256105091144836479e+02
3.670000000000000000e+02,1.572900000000000000e+04,1.254153100701823860e+02
3.689999999999999432e+02,1.576000000000000000e+04,1.255388386118011113e+02
3.709999999999999432e+02,1.575300000000000000e+04,1.255109556971019629e+02
3.730000000000000000e+02,1.592100000000000000e+04,1.261784450688792276e+02
3.750000000000000000e+02,1.600800000000000000e+04,1.265227252314780344e+02
3.770000000000000000e+02,1.614800000000000000e+04,1.270747811330002150e+02
3.790000000000000000e+02,1.643800000000000000e+04,1.282107639786918298e+02
3.810000000000000000e+02,1.607700000000000000e+04,1.267951103158156911e+02
3.830000000000000000e+02,1.654100000000000000e+04,1.286118190525266982e+02
3.850000000000000000e+02,1.646200000000000000e+04,1.283043257259860184e+02
3.870000000000000000e+02,1.676400000000000000e+04,1.294758664771143231e+02
3.889999999999999432e+02,1.668500000000000000e+04,1.291704300527017040e+02
3.909999999999999432e+02,1.689500000000000000e+04,1.299807678081633640e+02
3.930000000000000000e+02,1.687700000000000000e+04,1.299115083431788662e+02
3.950000000000000000e+02,1.718100000000000000e+04,1.310763136497225787e+02
3.970000000000000000e+02,1.725100000000000000e+04,1.313430622454034165e+02
3.990000000000000000e+02,1.729400000000000000e+04,1.315066538240571390e+02
4.010000000000000000e+02,1.737500000000000000e+04,1.318142632646413404e+02
4.030000000000000000e+02,1.782000000000000000e+04,1.334915727677216637e+02
4.050000000000000000e+02,1.761700000000000000e+04,1.327290473106768331e+02
4.070000000000000000e+02,1.760900000000000000e+04,1.326989073052209278e+02
4.089999999999999432e+02,1.760900000000000000e+04,1.326989073052209278e+02
4.109999999999999432e+02,1.773300000000000000e+04,1.331653107982710935e+02
4.130000000000000000e+02,1.809000000000000000e+04,1.344990706287608191e+02
4.150000000000000000e+02,1.774900000000000000e+04,1.332253729587573616e+02
4.170000000000000000e+02,1.816100000000000000e+04,1.347627544984134147e+02
4.190000000000000000e+02,1.856100000000000000e+04,1.362387610043479071e+02
4.210000000000000000e+02,1.863200000000000000e+04,1.364990842460138083e+02
4.230000000000000000e+02,1.871000000000000000e+04,1.367845020461027161e+02
4.250000000000000000e+02,1.888600000000000000e+04,1.374263439082897094e+02
4.269999999999999432e+02,1.875700000000000000e+04,1.369561973771160410e+02
4.289999999999999432e+02,1.889600000000000000e+04,1.374627222195158538e+02
4.309999999999999432e+02,1.923200000000000000e+04,1.386794865868760098e+02
4.330000000000000000e+02,1.907700000000000000e+04,1.381195134656954906e+02
4.350000000000000000e+02,1.940100000000000000e+04,1.392874725163746916e+02
4.370000000000000000e+02,1.924600000000000000e+04,1.387299535068050318e+02
4.390000000000000000e+02,1.954200000000000000e+04,1.397927036722576304e+02
4.410000000000000000e+02,1.971200000000000000e+04,1.403994301982747857e+02
4.430000000000000000e+02,1.975000000000000000e+04,1.405346932255524735e+02
4.450000000000000000e+02,1.974200000000000000e+04,1.405062276199896587e+02
4.469999999999999432e+02,1.990000000000000000e+04,1.410673597966597299e+02
4.489999999999999432e+02,2.004000000000000000e+04,1.415627069534893963e+02
4.509999999999999432e+02,1.997200000000000000e+04,1.413223266154345765e+02
4.530000000000000000e+02,2.012200000000000000e+04,1.418520355863802251e+02
4.550000000000000000e+02,2.031800000000000000e+04,1.425412221078513539e+02
4.570000000000000000e+02,2.035400000000000000e+04,1.426674454807398433e+02
4.590000000000000000e+02,2.046500000000000000e+04,1.430559331170843507e+02
4.610000000000000000e+02,2.064200000000000000e+04,1.436732403755122505e+02
4.630000000000000000e+02,2.069800000000000000e+04,1.438679950510195340e+02
4.650000000000000000e+02,2.088400000000000000e+04,1.445129751960012072e+02
4.669999999999999432e+02,2.078100000000000000e+04,1.441561653208082134e+02
4.689999999999999432e+02,2.086800000000000000e+04,1.444576062379564974e+02
4.709999999999999432e+02,2.139600000000000000e+04,1.462737160258111544e+02
4.730000000000000000e+02,2.121100000000000000e+04,1.456399670420178154e+02
4.750000000000000000e+02,2.113400000000000000e+04,1.453753761818006751e+02
4.770000000000000000e+02,2.147200000000000000e+04,1.465332726721135259e+02
4.790000000000000000e+02,2.135900000000000000e+04,1.461471860830715741e+02
4.809999999999999432e+02,2.147400000000000000e+04,1.465400969018373871e+02
4.830000000000000000e+02,2.150600000000000000e+04,1.466492413891064643e+02
4.850000000000000000e+02,2.196300000000000000e+04,1.481991902811896580e+02
4.869999999999999432e+02,2.176300000000000000e+04,1.475228795814400655e+02
4.889999999999999432e+02,2.205200000000000000e+04,1.484991582467737317e+02
4.909999999999998863e+02,2.174700000000000000e+04,1.474686407342269376e+02
4.929999999999999432e+02,2.164900000000000000e+04,1.471359915180510143e+02
4.949999999999998863e+02,2.221700000000000000e+04,1.490536816049825575e+02
